model,provider,score,date,notes
Claude 4.5 Opus medium (20251101),Anthropic,74.40,2025-11-24,medium reasoning
Gemini 3 Pro Preview (2025-11-18),Google,74.20,2025-11-18,
GPT-5.2 (2025-12-11) (high reasoning),OpenAI,71.80,2025-12-11,high reasoning
Claude 4.5 Sonnet (20250929),Anthropic,70.60,2025-09-29,
GPT-5.2 (2025-12-11),OpenAI,69.00,2025-12-11,
Claude 4 Opus (20250514),Anthropic,67.60,2025-08-02,
GPT-5.1-codex (medium reasoning),OpenAI,66.00,2025-11-24,medium reasoning
GPT-5.1 (2025-11-13) (medium reasoning),OpenAI,66.00,2025-11-20,medium reasoning
GPT-5 (2025-08-07) (medium reasoning),OpenAI,65.00,2025-08-07,medium reasoning
Claude 4 Sonnet (20250514),Anthropic,64.93,2025-07-26,
Kimi K2 Thinking,Moonshot,63.40,2025-12-10,
Minimax M2,Minimax,61.00,2025-11-24,
DeepSeek V3.2 Reasoner,DeepSeek,60.00,2025-12-01,
GPT-5 mini (2025-08-07) (medium reasoning),OpenAI,59.80,2025-08-07,medium reasoning
o3 (2025-04-16),OpenAI,58.40,2025-07-26,
Devstral small (2512),Mistral,56.40,2025-12-09,
Qwen3-Coder 480B/A35B Instruct,Alibaba,55.40,2025-08-02,
GLM-4.6 (T=1),Zhipu,55.40,2025-12-01,
GLM-4.5 (2025-08-22),Zhipu,54.20,2025-08-22,
Devstral (2512),Mistral,53.80,2025-12-09,
Gemini 2.5 Pro (2025-05-06),Google,53.60,2025-07-26,
Claude 3.7 Sonnet (20250219),Anthropic,52.80,2025-07-20,
o4-mini (2025-04-16),OpenAI,45.00,2025-07-26,
Kimi K2 Instruct,Moonshot,43.80,2025-08-07,
GPT-4.1 (2025-04-14),OpenAI,39.58,2025-07-26,
GPT-5 nano (2025-08-07) (medium reasoning),OpenAI,34.80,2025-08-07,medium reasoning
Gemini 2.5 Flash (2025-04-17),Google,28.73,2025-07-26,
gpt-oss-120b,OpenAI,26.00,2025-08-07,open-source
GPT-4.1-mini (2025-04-14),OpenAI,23.94,2025-07-20,
GPT-4o (2024-11-20),OpenAI,21.62,2025-07-20,
Llama 4 Maverick Instruct,Meta,21.04,2025-07-20,
Gemini 2.0 flash,Google,13.52,2025-07-26,
Llama 4 Scout Instruct,Meta,9.06,2025-07-20,
Qwen2.5-Coder 32B Instruct,Alibaba,9.00,2025-08-03,
